,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,Application ID,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Employee Source
10,41.0,Voluntary Resignation,Travel_Rarely,1102.0,Sales,1,2.0,Life Sciences,123466,1.0,Female,41.0,3.0,5.0,Manager,1.0,Married,19566.0,3854.0,5.0,No,11.0,3.0,4.0,0.0,33.0,5.0,1.0,29.0,8.0,11.0,10.0,Indeed
11,37.0,Voluntary Resignation,Travel_Rarely,807.0,Human Resources,6,4.0,Human Resources,123467,1.0,Female,37.0,3.0,2.0,Sales Executive,4.0,Single,5993.0,19479.0,8.0,Yes,11.0,4.0,1.0,0.0,8.0,0.0,1.0,6.0,4.0,0.0,5.0,Referral
12,41.0,Voluntary Resignation,Travel_Rarely,1102.0,Sales,1,2.0,Life Sciences,123468,2.0,Female,94.0,3.0,2.0,Sales Executive,4.0,Single,5993.0,19479.0,4.0,Yes,11.0,3.0,1.0,0.0,8.0,0.0,1.0,6.0,4.0,0.0,5.0,Referral
13,37.0,Voluntary Resignation,Travel_Rarely,807.0,Human Resources,6,4.0,Marketing,123469,1.0,Female,37.0,3.0,2.0,Sales Executive,4.0,Single,5993.0,19479.0,5.0,Yes,11.0,3.0,1.0,0.0,8.0,0.0,1.0,6.0,4.0,0.0,5.0,Referral
14,37.0,Voluntary Resignation,Travel_Rarely,807.0,Human Resources,6,4.0,Human Resources,123470,1.0,Female,77.0,2.0,1.0,Human Resources,1.0,Married,2342.0,8635.0,0.0,No,21.0,4.0,1.0,0.0,8.0,0.0,1.0,6.0,4.0,0.0,5.0,Referral
15,37.0,Voluntary Resignation,Travel_Rarely,807.0,Human Resources,6,4.0,Marketing,123471,1.0,Female,37.0,3.0,2.0,Sales Executive,4.0,Single,5993.0,19479.0,5.0,Yes,11.0,3.0,1.0,0.0,8.0,0.0,1.0,6.0,4.0,0.0,5.0,Referral
16,41.0,Voluntary Resignation,Travel_Rarely,1102.0,Sales,1,2.0,Life Sciences,123472,2.0,Female,94.0,3.0,2.0,Sales Executive,4.0,Single,5993.0,19479.0,8.0,Yes,11.0,3.0,1.0,0.0,8.0,0.0,1.0,6.0,4.0,0.0,5.0,Referral
17,41.0,Voluntary Resignation,Travel_Rarely,1102.0,Sales,1,2.0,Life Sciences,123473,2.0,Female,94.0,3.0,2.0,Sales Executive,4.0,Single,5993.0,19479.0,4.0,Yes,11.0,3.0,1.0,0.0,8.0,0.0,1.0,6.0,4.0,0.0,5.0,Referral
18,49.0,Current employee,Travel_Frequently,279.0,Research & Development,8,1.0,Life Sciences,123474,3.0,Male,61.0,2.0,2.0,Research Scientist,2.0,Married,5130.0,24907.0,1.0,No,23.0,3.0,4.0,1.0,10.0,3.0,3.0,10.0,7.0,1.0,7.0,Seek
19,59.0,Current employee,Non-Travel,1420.0,Human Resources,2,4.0,Human Resources,123475,1.0,Male,37.0,2.0,2.0,Research Scientist,2.0,Married,5130.0,24907.0,1.0,No,23.0,3.0,4.0,1.0,10.0,3.0,3.0,10.0,7.0,1.0,7.0,Seek
20,59.0,Current employee,Non-Travel,1420.0,Human Resources,2,4.0,Life Sciences,123476,1.0,Male,37.0,2.0,2.0,Research Scientist,2.0,Married,5130.0,24907.0,2.0,No,23.0,3.0,4.0,1.0,10.0,3.0,3.0,10.0,7.0,1.0,7.0,Seek
21,49.0,Current employee,Travel_Frequently,279.0,Research & Development,8,1.0,Marketing,123477,3.0,Male,61.0,2.0,2.0,Research Scientist,2.0,Married,5130.0,24907.0,3.0,No,23.0,3.0,4.0,1.0,10.0,3.0,3.0,10.0,7.0,1.0,7.0,Seek
22,49.0,Current employee,Travel_Frequently,279.0,Research & Development,8,1.0,Life Sciences,123478,3.0,Male,61.0,2.0,2.0,Research Scientist,2.0,Married,5130.0,24907.0,1.0,No,23.0,4.0,4.0,1.0,10.0,3.0,3.0,10.0,7.0,1.0,7.0,Seek
23,49.0,Current employee,Travel_Frequently,279.0,Research & Development,8,1.0,Marketing,123479,3.0,Male,61.0,2.0,2.0,Research Scientist,2.0,Married,5130.0,24907.0,3.0,No,23.0,4.0,4.0,1.0,10.0,3.0,3.0,10.0,7.0,1.0,7.0,Seek
24,59.0,Current employee,Non-Travel,1420.0,Human Resources,2,4.0,Human Resources,123480,1.0,Male,37.0,2.0,2.0,Research Scientist,2.0,Married,5130.0,24907.0,1.0,No,23.0,4.0,4.0,1.0,10.0,3.0,3.0,10.0,7.0,1.0,7.0,Seek
25,59.0,Current employee,Non-Travel,1420.0,Human Resources,2,4.0,Life Sciences,123481,1.0,Male,37.0,2.0,2.0,Research Scientist,2.0,Married,5130.0,24907.0,2.0,No,23.0,4.0,4.0,1.0,16.0,3.0,2.0,14.0,8.0,6.0,9.0,Seek
26,49.0,Current employee,Travel_Frequently,279.0,Research & Development,8,1.0,Life Sciences,123482,3.0,Male,61.0,2.0,2.0,Research Scientist,2.0,Married,5130.0,24907.0,1.0,No,23.0,3.0,4.0,1.0,10.0,3.0,3.0,10.0,7.0,1.0,7.0,Seek
27,49.0,Current employee,Travel_Frequently,279.0,Research & Development,8,1.0,Life Sciences,123483,2.0,Male,95.0,2.0,2.0,Manufacturing Director,2.0,Single,6499.0,22656.0,1.0,No,13.0,3.0,3.0,0.0,6.0,3.0,3.0,6.0,5.0,0.0,3.0,Indeed
28,49.0,Current employee,Travel_Frequently,279.0,Research & Development,8,1.0,Life Sciences,123484,3.0,Female,87.0,3.0,2.0,Manufacturing Director,3.0,Divorced,4810.0,26314.0,2.0,No,14.0,3.0,3.0,1.0,19.0,5.0,2.0,10.0,7.0,0.0,8.0,Referral
29,59.0,Current employee,Non-Travel,1420.0,Human Resources,2,4.0,Human Resources,123485,1.0,Male,37.0,2.0,2.0,Research Scientist,2.0,Married,5130.0,24907.0,1.0,No,23.0,3.0,4.0,1.0,10.0,3.0,3.0,10.0,7.0,1.0,7.0,Seek
30,59.0,Current employee,Non-Travel,1420.0,Human Resources,2,4.0,Life Sciences,123486,1.0,Male,37.0,2.0,2.0,Research Scientist,2.0,Married,5130.0,24907.0,2.0,No,23.0,3.0,4.0,1.0,10.0,3.0,3.0,10.0,7.0,1.0,7.0,Seek
31,49.0,Current employee,Travel_Frequently,279.0,Research & Development,8,1.0,Marketing,123487,3.0,Male,61.0,2.0,2.0,Research Scientist,2.0,Married,5130.0,24907.0,3.0,No,23.0,3.0,4.0,1.0,10.0,3.0,3.0,10.0,7.0,1.0,7.0,Seek
32,49.0,Current employee,Travel_Frequently,279.0,Research & Development,8,1.0,Life Sciences,123488,3.0,Male,61.0,2.0,2.0,Research Scientist,2.0,Married,5130.0,24907.0,1.0,No,23.0,4.0,4.0,1.0,10.0,3.0,3.0,10.0,7.0,1.0,7.0,Seek
33,49.0,Current employee,Travel_Frequently,279.0,Research & Development,8,1.0,Marketing,123489,3.0,Male,61.0,2.0,2.0,Research Scientist,2.0,Married,5130.0,24907.0,3.0,No,23.0,4.0,4.0,1.0,10.0,3.0,3.0,10.0,7.0,1.0,7.0,Seek
34,59.0,Current employee,Non-Travel,1420.0,Human Resources,2,4.0,Human Resources,123490,1.0,Male,37.0,2.0,2.0,Research Scientist,2.0,Married,5130.0,24907.0,1.0,No,23.0,4.0,4.0,1.0,10.0,3.0,3.0,10.0,7.0,1.0,7.0,Seek
35,59.0,Current employee,Non-Travel,1420.0,Human Resources,2,4.0,Life Sciences,123491,1.0,Male,37.0,2.0,2.0,Research Scientist,2.0,Married,5130.0,24907.0,2.0,No,23.0,4.0,4.0,1.0,16.0,3.0,2.0,14.0,8.0,6.0,9.0,Seek
37,54.0,Current employee,Non-Travel,142.0,Human Resources,26,3.0,Human Resources,123493,1.0,Male,37.0,2.0,1.0,Laboratory Technician,3.0,Single,2090.0,2396.0,6.0,Yes,15.0,3.0,2.0,0.0,7.0,3.0,3.0,0.0,0.0,0.0,0.0,Seek
38,37.0,Voluntary Resignation,Travel_Rarely,1373.0,Research & Development,2,2.0,Life Sciences,123494,4.0,Male,92.0,2.0,1.0,Laboratory Technician,3.0,Single,2090.0,2396.0,1.0,Yes,15.0,3.0,2.0,0.0,7.0,3.0,3.0,0.0,0.0,0.0,0.0,Seek
39,54.0,Current employee,Non-Travel,142.0,Human Resources,26,3.0,Technical Degree,123495,1.0,Male,37.0,2.0,1.0,Laboratory Technician,3.0,Single,2090.0,2396.0,1.0,Yes,15.0,3.0,2.0,0.0,7.0,3.0,3.0,0.0,0.0,0.0,0.0,Seek
40,37.0,Voluntary Resignation,Travel_Rarely,1373.0,Research & Development,2,2.0,Other,123496,4.0,Male,92.0,2.0,1.0,Laboratory Technician,3.0,Single,2090.0,2396.0,6.0,Yes,15.0,3.0,2.0,0.0,7.0,3.0,3.0,0.0,0.0,0.0,0.0,Seek
41,37.0,Voluntary Resignation,Travel_Rarely,1373.0,Research & Development,2,2.0,Life Sciences,123497,4.0,Male,92.0,2.0,1.0,Laboratory Technician,3.0,Single,2090.0,2396.0,1.0,Yes,15.0,3.0,2.0,0.0,7.0,3.0,3.0,0.0,0.0,0.0,0.0,Seek
42,54.0,Current employee,Non-Travel,142.0,Human Resources,26,3.0,Human Resources,123498,1.0,Male,37.0,2.0,1.0,Laboratory Technician,3.0,Single,2090.0,2396.0,6.0,Yes,15.0,3.0,2.0,0.0,7.0,3.0,3.0,0.0,0.0,0.0,0.0,Seek
43,37.0,Voluntary Resignation,Travel_Rarely,1373.0,Research & Development,2,2.0,Other,123499,4.0,Male,92.0,2.0,1.0,Laboratory Technician,3.0,Single,2090.0,2396.0,6.0,Yes,15.0,3.0,2.0,0.0,7.0,3.0,3.0,0.0,0.0,0.0,0.0,Seek
44,37.0,Voluntary Resignation,Travel_Rarely,1373.0,Research & Development,2,2.0,Other,123500,2.0,Male,59.0,3.0,3.0,Research Scientist,1.0,Divorced,9724.0,18787.0,2.0,No,17.0,3.0,3.0,1.0,25.0,2.0,3.0,1.0,0.0,0.0,0.0,Company Website
45,37.0,Voluntary Resignation,Travel_Rarely,1373.0,Research & Development,2,2.0,Other,123501,4.0,Female,88.0,2.0,2.0,Healthcare Representative,4.0,Married,4523.0,4386.0,0.0,No,11.0,4.0,4.0,3.0,7.0,4.0,4.0,6.0,5.0,0.0,4.0,Company Website
46,54.0,Current employee,Non-Travel,142.0,Human Resources,26,3.0,Human Resources,123502,1.0,Male,37.0,2.0,1.0,Laboratory Technician,3.0,Single,2090.0,2396.0,6.0,Yes,15.0,3.0,2.0,0.0,7.0,3.0,3.0,0.0,0.0,0.0,0.0,Seek
47,37.0,Voluntary Resignation,Travel_Rarely,1373.0,Research & Development,2,2.0,Life Sciences,123503,4.0,Male,92.0,2.0,1.0,Laboratory Technician,3.0,Single,2090.0,2396.0,1.0,Yes,15.0,3.0,2.0,0.0,7.0,3.0,3.0,0.0,0.0,0.0,0.0,Seek
48,54.0,Current employee,Non-Travel,142.0,Human Resources,26,3.0,Technical Degree,123504,1.0,Male,37.0,2.0,1.0,Laboratory Technician,3.0,Single,2090.0,2396.0,1.0,Yes,15.0,3.0,2.0,0.0,7.0,3.0,3.0,0.0,0.0,0.0,0.0,Seek
49,37.0,Voluntary Resignation,Travel_Rarely,1373.0,Research & Development,2,2.0,Other,123505,4.0,Male,92.0,2.0,1.0,Laboratory Technician,3.0,Single,2090.0,2396.0,6.0,Yes,15.0,3.0,2.0,0.0,7.0,3.0,3.0,0.0,0.0,0.0,0.0,Seek
50,37.0,Voluntary Resignation,Travel_Rarely,1373.0,Research & Development,2,2.0,Life Sciences,123506,4.0,Male,92.0,2.0,1.0,Laboratory Technician,3.0,Single,2090.0,2396.0,1.0,Yes,15.0,3.0,2.0,0.0,7.0,3.0,3.0,0.0,0.0,0.0,0.0,Seek
51,54.0,Current employee,Non-Travel,142.0,Human Resources,26,3.0,Human Resources,123507,1.0,Male,37.0,2.0,1.0,Laboratory Technician,3.0,Single,2090.0,2396.0,6.0,Yes,15.0,3.0,2.0,0.0,7.0,3.0,3.0,0.0,0.0,0.0,0.0,Seek
52,33.0,Current employee,Travel_Frequently,1392.0,Research & Development,3,4.0,Life Sciences,123508,4.0,Female,56.0,3.0,1.0,Research Scientist,3.0,Married,2909.0,23159.0,1.0,Yes,11.0,3.0,3.0,0.0,8.0,3.0,3.0,8.0,7.0,3.0,0.0,Seek
53,30.0,Current employee,Travel_Rarely,1240.0,Human Resources,9,3.0,Human Resources,123509,1.0,Female,37.0,3.0,1.0,Research Scientist,3.0,Married,2909.0,23159.0,1.0,Yes,11.0,3.0,3.0,0.0,8.0,3.0,3.0,8.0,7.0,3.0,0.0,Seek
54,33.0,Current employee,Travel_Frequently,1392.0,Research & Development,3,4.0,Life Sciences,123510,4.0,Female,56.0,3.0,1.0,Research Scientist,3.0,Married,2909.0,23159.0,2.0,Yes,11.0,3.0,3.0,0.0,8.0,3.0,3.0,8.0,7.0,3.0,0.0,Seek
55,30.0,Current employee,Travel_Rarely,1240.0,Human Resources,9,3.0,Medical,123511,1.0,Female,37.0,3.0,1.0,Research Scientist,3.0,Married,2909.0,23159.0,3.0,Yes,11.0,4.0,3.0,0.0,8.0,3.0,3.0,8.0,7.0,3.0,0.0,Seek
63,30.0,Current employee,Travel_Rarely,1240.0,Human Resources,9,3.0,Human Resources,123512,1.0,Female,37.0,3.0,1.0,Research Scientist,3.0,Married,2909.0,23159.0,1.0,Yes,11.0,3.0,3.0,0.0,8.0,3.0,3.0,8.0,7.0,3.0,0.0,Seek
64,30.0,Current employee,Travel_Rarely,1240.0,Human Resources,9,3.0,Medical,123513,1.0,Female,37.0,3.0,1.0,Research Scientist,3.0,Married,2909.0,23159.0,3.0,Yes,11.0,3.0,3.0,0.0,8.0,3.0,3.0,8.0,7.0,3.0,0.0,Company Website
65,33.0,Current employee,Travel_Frequently,1392.0,Research & Development,3,4.0,Life Sciences,123514,4.0,Female,56.0,3.0,1.0,Research Scientist,3.0,Married,2909.0,23159.0,1.0,Yes,11.0,3.0,3.0,0.0,8.0,3.0,3.0,8.0,7.0,3.0,0.0,Seek
66,33.0,Current employee,Travel_Frequently,1392.0,Research & Development,3,4.0,Life Sciences,123515,4.0,Female,56.0,3.0,1.0,Research Scientist,3.0,Married,2909.0,23159.0,2.0,Yes,11.0,3.0,3.0,0.0,8.0,3.0,3.0,8.0,7.0,3.0,0.0,Seek
67,33.0,Current employee,Travel_Frequently,1392.0,Research & Development,3,4.0,Life Sciences,123516,4.0,Female,56.0,3.0,1.0,Research Scientist,3.0,Married,2909.0,23159.0,1.0,Yes,11.0,3.0,3.0,0.0,8.0,3.0,3.0,8.0,7.0,3.0,0.0,Seek
68,33.0,Current employee,Travel_Frequently,1392.0,Research & Development,3,4.0,Life Sciences,123517,2.0,Male,79.0,3.0,1.0,Research Scientist,1.0,Married,2194.0,5868.0,4.0,No,13.0,3.0,4.0,1.0,5.0,2.0,2.0,3.0,2.0,1.0,2.0,Company Website
69,33.0,Current employee,Travel_Frequently,1392.0,Research & Development,3,4.0,Life Sciences,123518,1.0,Female,62.0,3.0,1.0,Sales Representative,2.0,Single,3202.0,21972.0,1.0,Yes,16.0,4.0,2.0,0.0,6.0,4.0,3.0,5.0,3.0,1.0,4.0,Company Website
70,30.0,Current employee,Travel_Rarely,1240.0,Human Resources,9,3.0,Human Resources,123519,1.0,Female,37.0,3.0,1.0,Research Scientist,3.0,Married,2909.0,23159.0,1.0,Yes,11.0,3.0,3.0,0.0,8.0,3.0,3.0,8.0,7.0,3.0,0.0,Seek
71,33.0,Current employee,Travel_Frequently,1392.0,Research & Development,3,4.0,Life Sciences,123520,4.0,Female,56.0,3.0,1.0,Research Scientist,3.0,Married,2909.0,23159.0,2.0,Yes,11.0,3.0,3.0,0.0,8.0,3.0,3.0,8.0,7.0,3.0,0.0,Seek
72,30.0,Current employee,Travel_Rarely,1240.0,Human Resources,9,3.0,Medical,123521,1.0,Female,37.0,3.0,1.0,Research Scientist,3.0,Married,2909.0,23159.0,3.0,Yes,11.0,4.0,3.0,0.0,8.0,3.0,3.0,8.0,7.0,3.0,0.0,Seek
73,30.0,Current employee,Travel_Rarely,1240.0,Human Resources,9,3.0,Human Resources,123522,1.0,Female,37.0,3.0,1.0,Research Scientist,3.0,Married,2909.0,23159.0,1.0,Yes,11.0,3.0,3.0,0.0,8.0,3.0,3.0,8.0,7.0,3.0,0.0,Seek
74,30.0,Current employee,Travel_Rarely,1240.0,Human Resources,9,3.0,Medical,123523,1.0,Female,37.0,3.0,1.0,Research Scientist,3.0,Married,2909.0,23159.0,3.0,Yes,11.0,3.0,3.0,0.0,8.0,3.0,3.0,8.0,7.0,3.0,0.0,Company Website
75,33.0,Current employee,Travel_Frequently,1392.0,Research & Development,3,4.0,Life Sciences,123524,4.0,Female,56.0,3.0,1.0,Research Scientist,3.0,Married,2909.0,23159.0,1.0,Yes,11.0,3.0,3.0,0.0,8.0,3.0,3.0,8.0,7.0,3.0,0.0,Seek
76,33.0,Current employee,Travel_Frequently,1392.0,Research & Development,3,4.0,Life Sciences,123525,4.0,Female,56.0,3.0,1.0,Research Scientist,3.0,Married,2909.0,23159.0,2.0,Yes,11.0,3.0,3.0,0.0,8.0,3.0,3.0,8.0,7.0,3.0,0.0,Seek
77,27.0,Current employee,Travel_Rarely,591.0,Research & Development,2,1.0,Medical,123526,1.0,Male,40.0,3.0,1.0,Laboratory Technician,2.0,Married,3468.0,16632.0,9.0,No,12.0,3.0,4.0,1.0,6.0,3.0,3.0,2.0,2.0,2.0,2.0,Seek
78,31.0,Current employee,Travel_Rarely,106.0,Human Resources,2,3.0,Human Resources,123527,1.0,Male,37.0,3.0,1.0,Laboratory Technician,2.0,Married,3468.0,16632.0,9.0,No,12.0,3.0,4.0,1.0,6.0,3.0,3.0,2.0,2.0,2.0,2.0,Seek
79,27.0,Current employee,Travel_Rarely,591.0,Research & Development,2,1.0,Life Sciences,123528,1.0,Male,40.0,3.0,1.0,Laboratory Technician,2.0,Married,3468.0,16632.0,1.0,No,12.0,4.0,4.0,1.0,6.0,3.0,3.0,2.0,2.0,2.0,2.0,Seek
80,31.0,Current employee,Travel_Rarely,106.0,Human Resources,2,3.0,Life Sciences,123529,1.0,Male,37.0,3.0,1.0,Laboratory Technician,2.0,Married,3468.0,16632.0,1.0,No,12.0,3.0,4.0,1.0,6.0,3.0,3.0,2.0,2.0,2.0,2.0,Seek
81,27.0,Current employee,Travel_Rarely,591.0,Research & Development,2,1.0,Medical,123530,1.0,Male,40.0,3.0,1.0,Laboratory Technician,2.0,Married,3468.0,16632.0,9.0,No,12.0,3.0,4.0,1.0,6.0,3.0,3.0,2.0,2.0,2.0,2.0,Indeed
82,27.0,Current employee,Travel_Rarely,591.0,Research & Development,2,1.0,Life Sciences,123531,1.0,Male,40.0,3.0,1.0,Laboratory Technician,2.0,Married,3468.0,16632.0,1.0,No,12.0,3.0,4.0,1.0,6.0,3.0,3.0,2.0,2.0,2.0,2.0,Seek
83,31.0,Current employee,Travel_Rarely,106.0,Human Resources,2,3.0,Human Resources,123532,1.0,Male,37.0,3.0,1.0,Laboratory Technician,2.0,Married,3468.0,16632.0,9.0,No,12.0,3.0,4.0,1.0,6.0,3.0,3.0,2.0,2.0,2.0,2.0,Seek
84,31.0,Current employee,Travel_Rarely,106.0,Human Resources,2,3.0,Life Sciences,123533,1.0,Male,37.0,3.0,1.0,Laboratory Technician,2.0,Married,3468.0,16632.0,1.0,No,12.0,3.0,4.0,1.0,6.0,3.0,3.0,2.0,2.0,2.0,2.0,Seek
85,27.0,Current employee,Travel_Rarely,591.0,Research & Development,2,1.0,Medical,123534,1.0,Male,40.0,3.0,1.0,Laboratory Technician,2.0,Married,3468.0,16632.0,9.0,No,12.0,3.0,4.0,1.0,6.0,3.0,3.0,2.0,2.0,2.0,2.0,Seek
86,27.0,Current employee,Travel_Rarely,591.0,Research & Development,2,1.0,Medical,123535,4.0,Male,79.0,2.0,1.0,Research Scientist,3.0,Married,3388.0,21777.0,0.0,Yes,17.0,3.0,1.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,Company Website
87,58.0,Current employee,Travel_Rarely,682.0,Sales,10,4.0,Medical,123536,1.0,Male,40.0,3.0,1.0,Laboratory Technician,2.0,Married,3468.0,16632.0,0.0,No,13.0,3.0,3.0,0.0,38.0,1.0,2.0,37.0,10.0,1.0,8.0,Adzuna
88,26.0,Termination,Travel_Rarely,1449.0,Research & Development,16,4.0,Medical,123537,1.0,Male,40.0,3.0,1.0,Laboratory Technician,2.0,Married,3468.0,16632.0,2.0,Yes,13.0,3.0,4.0,1.0,5.0,2.0,3.0,3.0,2.0,0.0,2.0,Recruit.net
89,27.0,Current employee,Travel_Rarely,591.0,Research & Development,2,1.0,Medical,123538,4.0,Female,33.0,1.0,1.0,Sales Representative,3.0,Divorced,2351.0,12253.0,0.0,No,16.0,4.0,4.0,1.0,3.0,3.0,2.0,2.0,2.0,1.0,0.0,Company Website
90,25.0,Current employee,Travel_Rarely,622.0,Sales,13,1.0,Medical,123539,1.0,Male,40.0,3.0,1.0,Laboratory Technician,2.0,Married,3468.0,16632.0,1.0,No,11.0,4.0,3.0,0.0,7.0,1.0,3.0,7.0,4.0,0.0,6.0,Company Website
91,31.0,Current employee,Travel_Rarely,106.0,Human Resources,2,3.0,Human Resources,123540,1.0,Male,37.0,3.0,1.0,Laboratory Technician,2.0,Married,3468.0,16632.0,9.0,No,12.0,3.0,4.0,1.0,6.0,3.0,3.0,2.0,2.0,2.0,2.0,Seek
92,18.0,Voluntary Resignation,Travel_Rarely,230.0,Research & Development,3,3.0,Life Sciences,123541,1.0,Male,40.0,3.0,1.0,Laboratory Technician,2.0,Married,3468.0,16632.0,1.0,No,11.0,3.0,1.0,1.0,20.0,2.0,3.0,20.0,7.0,2.0,13.0,Seek
93,31.0,Current employee,Travel_Rarely,326.0,Sales,8,2.0,Life Sciences,123542,1.0,Male,40.0,3.0,1.0,Laboratory Technician,2.0,Married,3468.0,16632.0,4.0,No,12.0,4.0,2.0,2.0,8.0,2.0,4.0,3.0,2.0,1.0,2.0,GlassDoor
94,27.0,Current employee,Travel_Rarely,591.0,Research & Development,2,1.0,Life Sciences,123543,1.0,Male,40.0,3.0,1.0,Laboratory Technician,2.0,Married,3468.0,16632.0,1.0,No,12.0,4.0,4.0,1.0,6.0,3.0,3.0,2.0,2.0,2.0,2.0,Seek
95,31.0,Current employee,Travel_Rarely,106.0,Human Resources,2,3.0,Life Sciences,123544,1.0,Male,37.0,3.0,1.0,Laboratory Technician,2.0,Married,3468.0,16632.0,1.0,No,12.0,3.0,4.0,1.0,6.0,3.0,3.0,2.0,2.0,2.0,2.0,Seek
96,27.0,Current employee,Travel_Rarely,591.0,Research & Development,2,1.0,Medical,123545,1.0,Male,40.0,3.0,1.0,Laboratory Technician,2.0,Married,3468.0,16632.0,9.0,No,12.0,3.0,4.0,1.0,6.0,3.0,3.0,2.0,2.0,2.0,2.0,Indeed
97,27.0,Current employee,Travel_Rarely,591.0,Research & Development,2,1.0,Life Sciences,123546,1.0,Male,40.0,3.0,1.0,Laboratory Technician,2.0,Married,3468.0,16632.0,1.0,No,12.0,3.0,4.0,1.0,6.0,3.0,3.0,2.0,2.0,2.0,2.0,Seek
98,31.0,Current employee,Travel_Rarely,106.0,Human Resources,2,3.0,Human Resources,123547,1.0,Male,37.0,3.0,1.0,Laboratory Technician,2.0,Married,3468.0,16632.0,9.0,No,12.0,3.0,4.0,1.0,6.0,3.0,3.0,2.0,2.0,2.0,2.0,Seek
99,31.0,Current employee,Travel_Rarely,106.0,Human Resources,2,3.0,Life Sciences,123548,1.0,Male,37.0,3.0,1.0,Laboratory Technician,2.0,Married,3468.0,16632.0,1.0,No,12.0,3.0,4.0,1.0,6.0,3.0,3.0,2.0,2.0,2.0,2.0,Seek
